classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;10;0,11875;0,612903226;0,800798708;0,140195209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;10;0,313432836;0,338709677;0,813830258;0,295741644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;10;0,117647059;0,032258065;0,773872738;0,033669006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;10;0,25;0,064516129;0,765487411;0,087290694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;11;0,475;0,169642857;0,777167277;0,210028551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;11;0,836734694;0,366071429;0,898572107;0,478818046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;11;0,861111111;0,276785714;0,893234466;0,390408625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;11;0,463414634;0,169642857;0,777167277;0,207534559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;11;0,836734694;0,366071429;0,898572107;0,478818046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;11;0,906976744;0,348214286;0,893688102;0,475234435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;11;0,412698413;0,232142857;0,739757156;0,244873869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;11;0,696629213;0,553571429;0,878692681;0,581265842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;11;0,747126437;0,580357143;0,90583876;0,621445088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;11;0,428571429;0,267857143;0,718037749;0,276139547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;11;0,349137931;0,723214286;0,83666141;0,392101883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;11;0,424390244;0,776785714;0,898067596;0,484840051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;11;0,441860465;0,169642857;0,789720696;0,202628946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;11;0,810344828;0,419642857;0,902497965;0,521555404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
