@relation openjpa\Release_21\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
895,1784,889,2,11,867,162.1818181818182,909,822,82.63636363636364,47,36,No
146,289,143,1,4,146,72.25,146,140,36.5,4,20,No
113,220,106,1,5,108,44.0,114,104,22.8,0,18,No
92,93,0,1,2,93,46.5,93,93,46.5,0,4,No
31,59,28,1,4,31,14.75,31,27,7.75,0,1,No
196,392,196,2,6,197,65.33333333333333,198,191,33.0,1,22,No
34,34,0,1,2,34,17.0,34,34,17.0,0,1,No
192,211,19,2,4,188,52.75,192,188,48.0,0,33,No
59,132,73,2,9,65,14.666666666666666,71,59,7.888888888888889,4,5,No
460,902,442,1,5,460,180.4,460,437,92.0,18,44,No
48,49,0,1,2,49,24.5,49,49,24.5,0,2,No
370,506,136,2,7,373,72.28571428571429,428,373,61.142857142857146,12,40,No
200,200,0,1,2,200,100.0,200,200,100.0,3,10,No
34,34,0,1,2,34,17.0,34,34,17.0,0,1,No
39,92,53,2,5,47,18.4,55,43,11.0,0,2,No
173,183,10,2,3,174,61.0,175,174,58.333333333333336,1,27,No
86,175,88,1,4,88,43.75,89,83,22.25,0,0,No
53,56,3,2,3,53,18.666666666666668,53,53,17.666666666666668,0,6,No
383,772,389,2,5,392,154.4,401,358,80.2,14,21,No
35,69,34,1,4,35,17.25,35,32,8.75,0,1,No
2988,6164,3176,3,14,3026,440.2857142857143,3158,2831,225.57142857142858,105,200,No
142,281,139,1,5,141,56.2,142,134,28.4,5,13,Yes
254,258,4,1,3,258,86.0,262,258,87.33333333333333,13,33,No
1455,2839,1384,2,7,1465,405.57142857142856,1475,1336,210.71428571428572,50,91,No
33,64,31,1,4,33,16.0,33,29,8.25,0,2,No
171,171,0,1,2,171,85.5,171,171,85.5,11,8,No
207,403,196,1,4,208,100.75,209,190,52.25,5,12,No
62,120,58,1,4,62,30.0,62,55,15.5,0,1,No
