classifier;iteration;precision;recall;AUC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plain;iteration;precision;recall;AUC;kappa;;Feature Selection;iteration;precision;recall;AUC;kappa;;Under Sampling;iteration;precision;recall;AUC;kappa;;;Over Sampling;iteration;precision;recall;AUC;kappa;;SMOTE;iteration;precision;recall;AUC;kappa
Naive Bayess;1;0,06557377;0,043478261;0,1796875;-0,421822072;;Naive Bayess;1;NaN;0;0,33648947;0;;Naive Bayess;1;NaN;0;0,568783967;0;;;Naive Bayess;1;NaN;0;0,33648947;0;;Naive Bayess;1;NaN;0;0,472953465;0
Naive Bayess;2;0,218855219;0,955882353;0,719952796;5,20E-04;;Naive Bayess;2;0,220735786;0,970588235;0,738441055;0,005280851;;Naive Bayess;2;0,220394737;0,985294118;0,744704672;0,004438586;;;Naive Bayess;2;0,509803922;0,382352941;0,754690148;0,307119343;;Naive Bayess;2;0,220735786;0,970588235;0,736262406;0,005280851
Naive Bayess;3;0;0;0,750403644;-0,06744186;;Naive Bayess;3;0;0;0,811930573;-0,010949594;;Naive Bayess;3;0;0;0,793391766;-0,010949594;;;Naive Bayess;3;0,333333333;0,120689655;0,722350363;0,099429503;;Naive Bayess;3;0;0;0,80042671;-0,010949594
Naive Bayess;4;0,2;0,020833333;0,841248734;0,014050562;;Naive Bayess;4;0,333333333;0,020833333;0,845966312;0,024605312;;Naive Bayess;4;0,166666667;0,020833333;0,847486069;0,008998079;;;Naive Bayess;4;0,25;0,020833333;0,84929078;0,01925078;;Naive Bayess;4;0,25;0,020833333;0,84929078;0,01925078
Naive Bayess;5;0,5;0,033333333;0,82711301;0,045074349;;Naive Bayess;5;0,6;0,05;0,842853751;0,071453188;;Naive Bayess;5;0,583333333;0,116666667;0,814150047;0,153239557;;;Naive Bayess;5;0,571428571;0,066666667;0,847530864;0,091695696;;Naive Bayess;5;0,571428571;0,066666667;0,847530864;0,091695696
Naive Bayess;6;0,666666667;0,074074074;0,794697404;0,111626469;;Naive Bayess;6;0,5;0,037037037;0,743103284;0,053007459;;Naive Bayess;6;0,5;0,037037037;0,73446449;0,053007459;;;Naive Bayess;6;0,5;0,037037037;0,710385643;0,053007459;;Naive Bayess;6;0,5;0,037037037;0,710385643;0,053007459
Naive Bayess;7;0;0;0,713789046;-0,004455779;;Naive Bayess;7;0;0;0,723933818;-0,004455779;;Naive Bayess;7;NaN;0;0,737894024;0;;;Naive Bayess;7;NaN;0;0,726322921;0;;Naive Bayess;7;NaN;0;0,726322921;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plain;iteration;precision;recall;AUC;kappa;;Feature Selection;iteration;precision;recall;AUC;kappa;;Under Sampling;iteration;precision;recall;AUC;kappa;;;Over Sampling;iteration;precision;recall;AUC;kappa;;SMOTE;iteration;precision;recall;AUC;kappa
IBK;1;NaN;0;0,51953125;0;;IBK;1;NaN;0;0,638629416;0;;IBK;1;NaN;0;0,613408628;0;;;IBK;1;NaN;0;0,638629416;0;;IBK;1;NaN;0;0,634595788;0
IBK;2;0,321428571;0,132352941;0,548505205;0,068719287;;IBK;2;0,318181818;0,205882353;0,600641491;0,094425957;;IBK;2;0,421052632;0,352941176;0,60869039;0,230569033;;;IBK;2;0,30952381;0,382352941;0,587024933;0,132448114;;IBK;2;0,29787234;0,205882353;0,596163157;0,078847922
IBK;3;0,40625;0,224137931;0,666214969;0,196002534;;IBK;3;0,322033898;0,327586207;0,66174605;0,192469578;;IBK;3;0,337209302;0,5;0,679362242;0,258978567;;;IBK;3;0,235294118;0,689655172;0,630031138;0,143329658;;IBK;3;0,301369863;0,379310345;0,663187637;0,189038878
