Version,File Name,LOC,LOC_added,LOC_deleted,LOC_modified,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,...,...,...,...,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,27,0,0,0,1,0,0,0.0,0,0,0.0,27,27,27,27,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,111,64,0,0,4,3,49,21.333333333333332,54,49,18.0,111,111,111,111,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,14,7,0,0,3,2,5,3.5,0,0,0.0,14,14,14,14,yes
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,42,17,0,0,4,5,13,3.4,39,38,7.8,42,42,42,42,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,88,9,0,0,4,6,5,1.5,11,3,1.8333333333333333,88,88,88,88,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,18,0,0,0,2,1,0,0.0,17,17,17.0,18,18,18,18,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,96,22,0,0,4,9,8,2.4444444444444446,23,10,2.5555555555555554,96,96,96,96,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,154,458,0,0,23,62,150,7.387096774193548,735,174,11.85483870967742,154,154,154,154,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,9,1,0,0,2,1,1,1.0,0,0,0.0,9,9,9,9,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,47,36,0,0,5,5,31,7.2,3,1,0.6,47,47,47,47,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,31,21,0,0,4,9,5,2.3333333333333335,138,77,15.333333333333334,31,31,31,31,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,463,717,0,0,13,27,541,26.555555555555557,676,531,25.037037037037038,463,463,463,463,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,123,289,0,0,14,39,65,7.410256410256411,236,58,6.051282051282051,123,123,123,123,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,120,257,0,0,14,19,139,13.526315789473685,243,116,12.789473684210526,120,120,120,120,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,9,0,0,0,1,0,0,0.0,0,0,0.0,9,9,9,9,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,41,2,0,0,2,1,2,2.0,0,0,0.0,41,41,41,41,yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5841,14476,0,0,4,16,6348,904.75,10790,2691,674.375,5841,5841,5841,5841,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,422,260,0,0,4,16,126,16.25,184,73,11.5,422,422,422,422,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,57,54,0,0,3,4,48,13.5,2,1,0.5,57,57,57,57,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,369,2235,0,0,28,87,575,25.689655172413794,2601,562,29.896551724137932,369,369,369,369,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,98,419,0,0,35,80,142,5.2375,2229,161,27.8625,98,98,98,98,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,34,63,0,0,9,16,17,3.9375,90,56,5.625,34,34,34,34,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,20,2,0,0,2,1,2,2.0,0,0,0.0,20,20,20,20,yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,121,14,0,0,4,7,11,2.0,92,42,13.142857142857142,121,121,121,121,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,62,57,0,0,13,18,29,3.1666666666666665,292,82,16.22222222222222,62,62,62,62,yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,14,4,0,0,2,1,4,4.0,0,0,0.0,14,14,14,14,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,41,203,0,0,10,18,84,11.277777777777779,205,90,11.38888888888889,41,41,41,41,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,111,354,0,0,21,63,32,5.619047619047619,513,90,8.142857142857142,111,111,111,111,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,17,8,0,0,2,2,5,4.0,36,35,18.0,17,17,17,17,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,80,305,0,0,16,45,37,6.777777777777778,408,185,9.066666666666666,80,80,80,80,yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,86,13,0,0,4,6,4,2.1666666666666665,9,6,1.5,86,86,86,86,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,290,25,0,0,5,9,10,2.7777777777777777,65,42,7.222222222222222,290,290,290,290,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,384,40,0,0,5,13,8,3.076923076923077,51,31,3.923076923076923,384,384,384,384,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,44,6,0,0,3,4,2,1.5,4,3,1.0,44,44,44,44,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,104,210,0,0,15,25,109,8.4,214,88,8.56,104,104,104,104,yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,91,2,0,0,2,1,2,2.0,0,0,0.0,91,91,91,91,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,14,93,0,0,7,8,81,11.625,144,78,18.0,14,14,14,14,yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,30,1,0,0,3,2,1,0.5,8,8,4.0,30,30,30,30,yes
