Version,File Name,LOC,LOC_added,LOC_deleted,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,Fan_Out,Method_Number,Buggy
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,155,50,2,3,104,51.666666666666664,105,104,35.0,4,5,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,633,162,3,9,487,70.33333333333333,551,487,61.22222222222222,42,24,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,224,8,2,4,216,56.0,216,216,54.0,1,15,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,92,11,3,4,80,23.0,81,80,20.25,0,2,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48,50,2,2,2,48,25.0,48,48,24.0,2,4,No
0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,163,1,2,2,162,81.5,162,162,81.0,12,30,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,121,29,3,3,81,40.333333333333336,92,81,30.666666666666668,3,14,No
0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,51,4,2,2,47,25.5,47,47,23.5,0,3,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,0,1,1,144,144.0,144,144,144.0,3,12,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,182,17,3,4,138,45.5,165,138,41.25,1,1,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39,39,0,1,1,39,39.0,39,39,39.0,0,3,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,210,53,3,8,167,26.25,181,167,22.625,4,3,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,130,7,2,4,122,32.5,123,122,30.75,2,10,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,439,12,2,3,426,146.33333333333334,427,426,142.33333333333334,23,18,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,556,23,3,8,521,69.5,535,521,66.875,12,33,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,83,86,3,2,3,82,28.666666666666668,83,82,27.666666666666668,2,6,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,168,19,3,5,133,33.6,149,133,29.8,2,9,No
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,155,2,2,2,153,77.5,153,153,76.5,9,8,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,5,2,2,38,21.5,38,38,19.0,0,2,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,65,1,2,2,64,32.5,64,64,32.0,1,5,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,130,142,12,2,4,129,35.5,130,129,32.5,5,5,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,269,132,3,5,126,53.8,141,126,28.2,0,10,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,0,1,1,37,37.0,37,37,37.0,0,4,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,59,1,2,2,58,29.5,58,58,29.0,0,6,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,32,0,1,1,32,32.0,32,32,32.0,1,3,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,28,28,0,1,1,28,28.0,28,28,28.0,0,3,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,1,2,2,39,20.0,39,39,19.5,0,4,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,127,24,2,6,101,21.166666666666668,107,101,17.833333333333332,0,3,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,74,0,1,1,74,74.0,74,74,74.0,1,5,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,63,67,4,2,2,63,33.5,63,63,31.5,0,4,No
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,235,98,2,4,137,58.75,139,137,34.75,5,4,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,193,20,3,4,170,48.25,173,170,43.25,2,6,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,139,7,3,3,75,46.333333333333336,132,75,44.0,2,10,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,76,9,3,4,67,19.0,67,67,16.75,1,3,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,10,2,3,147,52.666666666666664,148,147,49.333333333333336,5,11,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,78,82,4,2,2,78,41.0,78,78,39.0,1,3,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,10,2,3,173,61.333333333333336,174,173,58.0,3,10,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,397,20,2,4,377,99.25,377,377,94.25,7,31,Yes
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,0,1,1,43,43.0,43,43,43.0,1,3,No
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,340,96,2,5,252,68.0,262,252,52.4,14,12,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,78,2,2,2,76,39.0,76,76,38.0,7,6,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,0,0,0,0,0,0.0,0,0,0.0,0,4,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,401,22,3,4,228,100.25,379,211,94.75,50,14,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,2,2,1,1,2,2.0,0,0,0.0,3,3,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,88,89,1,1,2,84,44.5,88,84,44.0,3,3,Yes
